Price,Age,KM,FuelType,HP,MetColor,Automatic,CC,Doors,Weight
13500,23.0,46986.0,Diesel,90.0,1.0,0,2000,three,1165
13750,23.0,72937.0,Diesel,90.0,1.0,0,2000,3,1165
13950,24.0,41711.0,Diesel,90.0,1.0,0,2000,3,1165
14950,26.0,48000.0,Diesel,90.0,0.0,0,2000,3,1165
13750,30.0,38500.0,Diesel,90.0,0.0,0,2000,3,1170
12950,32.0,61000.0,Diesel,90.0,0.0,0,2000,3,1170
16900,27.0,68647.23997185081,Diesel,101.47832167832168,1.0,0,2000,3,1245
18600,30.0,75889.0,Petrol,90.0,1.0,0,2000,3,1245
21500,27.0,19700.0,Petrol,192.0,0.0,0,1800,3,1185
12950,23.0,71138.0,Diesel,101.47832167832168,1.0,0,1900,3,1105
20950,25.0,31461.0,Petrol,192.0,0.0,0,1800,3,1185
19950,22.0,43610.0,Petrol,192.0,0.0,0,1800,3,1185
19600,25.0,32189.0,Petrol,192.0,0.0,0,1800,3,1185
21500,31.0,23000.0,Petrol,192.0,1.0,0,1800,3,1185
22500,32.0,34131.0,Petrol,192.0,1.0,0,1800,3,1185
22000,28.0,18739.0,Petrol,101.47832167832168,0.0,0,1800,3,1185
22750,30.0,34000.0,Petrol,192.0,1.0,0,1800,3,1185
17950,24.0,21716.0,Petrol,110.0,1.0,0,1600,3,1105
16750,24.0,25563.0,Petrol,110.0,0.0,0,1600,3,1065
16950,30.0,64359.0,Petrol,110.0,1.0,0,1600,3,1105
15950,30.0,67660.0,Petrol,110.0,1.0,0,1600,3,1105
16950,29.0,43905.0,Petrol,110.0,0.0,1,1600,3,1170
15950,28.0,56349.0,Petrol,110.0,1.0,0,1600,3,1120
16950,28.0,32220.0,Petrol,110.0,1.0,0,1600,3,1120
16250,29.0,25813.0,Petrol,110.0,1.0,0,1600,3,1120
15950,25.0,28450.0,Petrol,110.0,1.0,0,1600,3,1120
17495,27.0,34545.0,Petrol,110.0,1.0,0,1600,3,1120
15750,29.0,41415.0,Petrol,110.0,1.0,0,1600,3,1120
16950,28.0,44142.0,Petrol,110.0,0.0,0,1600,3,1120
17950,30.0,11090.0,Petrol,110.0,1.0,0,1600,3,1120
12950,29.0,9750.0,Petrol,97.0,1.0,0,1400,3,1100
15750,22.0,35199.0,Petrol,97.0,1.0,0,1400,3,1100
15950,27.0,29510.0,Petrol,97.0,1.0,0,1400,3,1100
14950,55.67215568862275,32692.0,Petrol,97.0,1.0,0,1400,3,1100
15500,22.0,41000.0,Petrol,97.0,1.0,0,1400,3,1100
15750,26.0,43000.0,Petrol,97.0,0.0,0,1400,3,1100
15950,25.0,25000.0,Petrol,97.0,0.0,0,1400,3,1100
14950,23.0,10000.0,Petrol,97.0,1.0,0,1400,3,1100
15750,32.0,25329.0,Petrol,97.0,1.0,0,1400,3,1100
14750,27.0,27500.0,Petrol,97.0,0.0,0,1400,3,1100
13950,22.0,49059.0,Petrol,97.0,0.0,0,1400,3,1100
16750,27.0,44068.0,Petrol,97.0,1.0,0,1400,3,1100
13950,22.0,46961.0,Petrol,97.0,0.0,0,1400,3,1100
16950,27.0,110404.0,Diesel,90.0,1.0,0,2000,5,1255
16950,22.0,100250.0,Petrol,90.0,0.0,0,2000,5,1255
19000,23.0,84000.0,Diesel,90.0,1.0,0,2000,5,1270
17950,27.0,79375.0,Diesel,90.0,1.0,0,2000,5,1255
15800,22.0,75048.0,Petrol,97.0,1.0,0,1400,5,1110
17950,22.0,72215.0,Diesel,90.0,1.0,0,2000,5,1255
21950,31.0,64982.0,Petrol,192.0,1.0,0,1800,5,1195
17950,22.0,62636.0,Diesel,90.0,1.0,0,2000,5,1255
15750,30.0,57086.0,Petrol,97.0,1.0,0,1400,5,1110
20500,26.0,56000.0,Petrol,110.0,1.0,1,1600,5,1180
21950,27.0,49866.0,Petrol,192.0,1.0,0,1800,5,1195
15500,25.0,49163.0,Petrol,110.0,0.0,1,1600,5,1165
13250,55.67215568862275,45725.0,Petrol,110.0,1.0,0,1600,5,1075
15250,28.0,43210.0,Petrol,97.0,0.0,0,1400,5,1110
15250,26.0,43000.0,Petrol,97.0,0.0,0,1400,5,1110
18950,23.0,39704.0,Petrol,110.0,1.0,1,1600,5,1180
15999,30.0,38950.0,Petrol,110.0,1.0,0,1600,5,1130
14950,22.0,37400.0,Petrol,97.0,1.0,0,1400,5,1110
16500,27.0,37177.0,Petrol,110.0,1.0,0,1600,5,1130
18750,31.0,36544.0,Petrol,110.0,1.0,0,1600,5,1130
17950,30.0,33511.0,Petrol,110.0,1.0,0,1600,5,1130
17950,27.0,68647.23997185081,Petrol,97.0,1.0,0,1400,5,1110
16950,26.0,32181.0,Petrol,110.0,1.0,0,1600,5,1075
18950,28.0,30993.0,Petrol,110.0,1.0,0,1600,5,1130
14950,22.0,30400.0,Petrol,97.0,1.0,0,1400,5,1110
22250,22.0,30000.0,Diesel,110.0,1.0,0,2000,5,1275
15950,25.0,29719.0,Petrol,97.0,1.0,0,1400,5,1110
15950,28.0,29206.0,Petrol,97.0,1.0,0,1400,5,1110
12995,32.0,29198.0,Petrol,97.0,1.0,0,1400,5,1060
18950,28.0,28817.0,Petrol,110.0,1.0,0,1598,5,1130
15750,23.0,28227.0,Petrol,97.0,1.0,0,1400,5,1110
19950,28.0,28000.0,Petrol,110.0,0.0,0,1600,5,1130
16950,23.0,28000.0,Petrol,110.0,1.0,0,1600,5,1115
18750,31.0,25266.0,Petrol,110.0,1.0,0,1600,5,1130
18450,27.0,23489.0,Petrol,110.0,0.0,0,1600,5,1115
16895,29.0,22575.0,Petrol,110.0,1.0,0,1600,5,1115
14900,30.0,22000.0,Petrol,97.0,1.0,0,1400,5,1110
18950,25.0,20019.0,Petrol,110.0,1.0,1,1600,5,1180
17250,29.0,20000.0,Petrol,110.0,1.0,0,1600,5,1115
15450,25.0,17003.0,Petrol,97.0,1.0,0,1400,5,1110
17950,55.67215568862275,16238.0,Petrol,110.0,1.0,1,1600,5,1180
16650,25.0,15414.0,Petrol,97.0,1.0,0,1400,5,1110
17450,28.0,8537.0,Petrol,110.0,1.0,0,1600,5,1130
14900,30.0,7000.0,Petrol,97.0,1.0,0,1400,5,1100
17950,20.0,66966.0,Diesel,90.0,1.0,0,2000,3,1245
15950,19.0,51884.0,Petrol,97.0,1.0,0,1400,3,1100
21950,19.0,50005.0,Diesel,110.0,1.0,0,2000,3,1265
16450,20.0,48110.0,Petrol,97.0,1.0,0,1400,3,1100
22250,20.0,68647.23997185081,Diesel,90.0,1.0,0,2000,3,1260
19950,55.67215568862275,34472.0,Diesel,90.0,1.0,0,1995,3,1260
15950,20.0,33329.0,Petrol,97.0,1.0,0,1400,3,1100
18900,20.0,31850.0,Petrol,110.0,0.0,0,1600,3,1120
19950,17.0,30351.0,Diesel,90.0,1.0,0,1995,3,1260
15950,19.0,29435.0,Petrol,97.0,1.0,0,1400,3,1100
15950,19.0,25948.0,Petrol,97.0,1.0,0,1400,3,1100
18750,11.0,24500.0,Petrol,110.0,1.0,0,1600,3,1120
17450,18.0,23902.0,Petrol,97.0,1.0,0,1400,3,1100
18990,20.0,23175.0,Petrol,110.0,1.0,0,1600,3,1120
16250,19.0,19200.0,Petrol,97.0,1.0,0,1400,3,1100
18500,13.0,18000.0,Petrol,71.0,0.0,0,1400,3,1125
18500,11.0,16123.0,Petrol,110.0,1.0,0,1600,3,1105
19450,11.0,14635.0,Petrol,110.0,1.0,1,1600,3,1155
16950,55.67215568862275,13748.0,Petrol,97.0,1.0,0,1400,3,1100
18800,14.0,11500.0,Petrol,110.0,1.0,0,1600,3,1045
17450,17.0,10000.0,Petrol,97.0,1.0,0,1400,3,1100
17950,20.0,7187.0,Petrol,110.0,1.0,0,1600,3,1105
32500,55.67215568862275,1.0,Petrol,116.0,0.0,0,2000,5,1480
31000,4.0,4000.0,Diesel,116.0,1.0,0,2000,5,1480
31275,4.0,1500.0,Diesel,116.0,1.0,0,2000,5,1480
24950,8.0,68647.23997185081,Diesel,116.0,1.0,0,2000,5,1320
24950,8.0,13253.0,Diesel,116.0,1.0,0,2000,5,1320
22950,7.0,10000.0,Diesel,116.0,1.0,0,2000,5,1270
24990,8.0,6000.0,Diesel,90.0,1.0,0,2000,5,1280
21950,8.0,10841.0,Petrol,90.0,1.0,0,2000,5,1270
17900,55.67215568862275,1.0,Petrol,110.0,1.0,0,1600,3,1105
19250,20.0,63000.0,Diesel,90.0,1.0,0,2000,5,1255
22250,55.67215568862275,57313.0,Petrol,110.0,1.0,0,2000,5,1275
18950,13.0,57037.0,Petrol,110.0,0.0,0,1600,5,1115
19950,19.0,51099.0,Petrol,90.0,1.0,0,2000,5,1255
16350,14.0,40010.0,Petrol,110.0,1.0,0,1600,5,1115
18950,20.0,39115.0,Petrol,110.0,1.0,0,1600,5,1130
16950,17.0,36012.0,Petrol,110.0,0.0,0,1600,5,1130
21750,16.0,68647.23997185081,Petrol,110.0,1.0,0,1600,5,1130
15950,20.0,36000.0,Petrol,110.0,1.0,0,1600,5,1075
16500,20.0,35000.0,Petrol,97.0,1.0,0,1400,5,1110
17950,17.0,33740.0,Petrol,97.0,1.0,0,1400,5,1135
15850,13.0,33477.0,Petrol,110.0,1.0,0,1600,5,1075
